SampleName_Long,Quant_nguL,Month,Trip,Date,Date_Extracted,Site,Rookery,Side,Replicate,FilterNum,SampleName,SampleName_Short
15-Aug_DCNRL_A1,7.66,August,Trip 1: Summer 2023,15-Aug-2023,23-Sep-2024,DC,NR,L,A,1,DCNRL A1,DCNRL
15-Aug_DCNRL_B1,1.35,August,Trip 1: Summer 2023,15-Aug-2023,21-Sep-2024,DC,NR,L,B,1,DCNRL B1,DCNRL
15-Aug_DCNRL_B2,6.04,August,Trip 1: Summer 2023,15-Aug-2023,21-Sep-2024,DC,NR,L,B,2,DCNRL B2,DCNRL
15-Aug_DCNRW_A1,5.6,August,Trip 1: Summer 2023,15-Aug-2023,23-Sep-2024,DC,NR,W,A,1,DCNRW A1,DCNRW
15-Aug_DCNRW_B1,10,August,Trip 1: Summer 2023,15-Aug-2023,17-Sep-2024,DC,NR,W,B,1,DCNRW B1,DCNRW
15-Aug_DCRL_A1,15.9,August,Trip 1: Summer 2023,15-Aug-2023,24-Sep-2024,DC,R,L,A,1,DCRL A1,DCRL
15-Aug_DCRL_A2,4.72,August,Trip 1: Summer 2023,15-Aug-2023,24-Sep-2024,DC,R,L,A,2,DCRL A2,DCRL
15-Aug_DCRL_B1,11.1,August,Trip 1: Summer 2023,15-Aug-2023,23-Sep-2024,DC,R,L,B,1,DCRL B1,DCRL
15-Aug_DCRL_B2,7.54,August,Trip 1: Summer 2023,15-Aug-2023,23-Sep-2024,DC,R,L,B,2,DCRL B2,DCRL
15-Aug_DCRW_A1,12.6,August,Trip 1: Summer 2023,15-Aug-2023,16-Sep-2024,DC,R,W,A,1,DCRW A1,DCRW
15-Aug_DCRW_A2,8.32,August,Trip 1: Summer 2023,15-Aug-2023,16-Sep-2024,DC,R,W,A,2,DCRW A2,DCRW
15-Aug_DCRW_B1,10.6,August,Trip 1: Summer 2023,15-Aug-2023,17-Sep-2024,DC,R,W,B,1,DCRW B1,DCRW
